subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,accuracy,f1,precision,recall,auc,experiment
31,0.000292,92.43,94.14,90.77,97.76,90.71,0.000468,88.53,91.24,89.04,93.55,86.61,0.002859,0.7125,0.6933,0.5306000000000001,1.0,0.787,dual_asym_dropout
34,0.000201,94.76,95.84,93.37,98.44,93.7,0.000569,85.0,88.98,83.74,94.93,81.21,0.001428,0.8205,0.8923000000000001,0.8286,0.9667,0.65,dual_asym_dropout
36,0.000248,93.88,95.17,92.39,98.12,92.61,0.000675,89.71,91.99,91.36,92.63,88.59,0.001249,0.7959,0.8484999999999999,0.7368000000000001,1.0,0.7619,dual_asym_dropout
37,0.000233,93.81,95.11,92.04,98.39,92.5,0.00075,85.88,89.61,84.49,95.39,82.25,0.001194,0.7176,0.8279000000000001,0.7062999999999999,1.0,0.5595,dual_asym_dropout
38,0.000216,94.96,96.0,94.11,97.96,94.03,0.000161,94.71,95.98,93.07,99.08,93.04,0.00281,0.7962,0.8222,0.7957,0.8506,0.7896,dual_asym_dropout
43,0.000236,93.85,95.13,92.12,98.35,92.55,0.000455,91.76,93.67,92.0,95.39,90.38,0.00251,0.7475,0.8227,0.8056,0.8406,0.687,dual_asym_dropout
44,0.000223,94.07,95.36,92.75,98.12,92.77,0.000422,89.71,92.1,90.27,94.01,88.06,0.001056,0.7637999999999999,0.8065000000000001,0.7143,0.9259000000000001,0.7529,dual_asym_dropout
45,0.000232,94.44,95.49,93.07,98.04,93.53,0.000712,88.24,91.11,87.98,94.47,85.85,0.000876,0.8087000000000001,0.8911,1.0,0.8036,0.9018,dual_asym_dropout
46,0.000138,96.36,97.16,95.55,98.82,95.5,0.000259,94.71,95.98,93.07,99.08,93.04,0.000301,0.94,0.9277,0.8652,1.0,0.9512,dual_asym_dropout
49,0.000171,95.58,96.49,94.7,98.34,94.73,0.000291,96.47,97.25,96.8,97.7,96.0,0.001782,0.8633,0.8758,0.8701000000000001,0.8815999999999999,0.8614,dual_asym_dropout
50,0.000166,96.05,96.85,94.95,98.83,95.2,0.000391,93.53,95.0,93.72,96.31,92.47,0.000242,0.9364,0.9466,0.8986,1.0,0.9270999999999999,dual_asym_dropout
51,0.000244,93.22,94.69,91.35,98.27,91.71,0.00133,69.12,75.75,75.93,75.58,66.65,0.001462,0.7458,0.7692,0.8065000000000001,0.7353000000000001,0.7476,dual_asym_dropout
52,0.000306,92.8,94.38,91.27,97.7,91.27,0.000739,78.53,85.07,76.47,95.85,71.91,0.001813,0.6944,0.7634000000000001,0.6396000000000001,0.9467,0.6835,dual_asym_dropout
53,0.00022,94.49,95.65,92.99,98.46,93.31,0.0006,88.24,91.03,88.65,93.55,86.21,0.001601,0.8713,0.8829,0.9608,0.8167,0.8839,dual_asym_dropout
54,0.000231,94.67,95.78,93.54,98.12,93.62,0.000797,86.18,89.34,87.95,90.78,84.42,0.002133,0.7681999999999999,0.8023,0.7889,0.8161,0.7595999999999999,dual_asym_dropout
55,0.00016,96.09,96.85,95.04,98.73,95.36,0.000654,90.0,92.2,91.78,92.63,89.0,0.002132,0.8029999999999999,0.8484999999999999,0.9106000000000001,0.7943000000000001,0.8085,dual_asym_dropout
56,0.000244,93.28,94.67,91.35,98.24,91.92,0.000466,89.12,91.72,89.13,94.47,87.07,0.000612,0.9227,0.9470000000000001,0.9398000000000001,0.9542,0.8970999999999999,dual_asym_dropout
58,0.000255,93.22,94.62,92.18,97.2,92.04,0.0004,95.29,96.41,93.89,99.08,93.85,9.7e-05,0.9728,0.9784999999999999,0.9579000000000001,1.0,0.9643,dual_asym_dropout
60,0.000331,91.56,93.48,89.48,97.85,89.62,0.000585,86.18,89.89,84.27,96.31,82.3,0.002995,0.6742,0.7184,0.6167,0.8604999999999999,0.6801999999999999,dual_asym_dropout
61,0.000216,95.07,96.1,93.55,98.79,93.96,0.00075,84.71,88.89,82.87,95.85,80.45,0.001512,0.6931999999999999,0.784,0.6712,0.9423,0.6378,dual_asym_dropout
62,0.000325,91.29,93.12,89.32,97.26,89.68,0.000629,93.24,94.78,93.3,96.31,92.06,0.004328,0.773,0.8245999999999999,1.0,0.7016,0.8508,dual_asym_dropout
63,0.000263,93.03,94.44,91.42,97.68,91.76,0.000524,90.29,92.34,92.99,91.71,89.75,0.001189,0.9198000000000001,0.9425,0.9919,0.8978,0.9389,dual_asym_dropout
31,0.00036,89.03,91.67,86.79,97.14,86.42,0.000292,87.65,91.06,84.58,98.62,83.46,0.002096,0.6,0.619,0.4483,1.0,0.7037,kalman_single
34,0.000304,91.41,93.27,89.65,97.18,89.74,0.000252,92.94,94.67,91.42,98.16,90.95,0.000644,0.7948999999999999,0.8824,0.7895,1.0,0.5556,kalman_single
36,0.000312,91.12,93.07,89.51,96.93,89.39,0.000166,96.47,97.29,95.56,99.08,95.47,0.002774,0.7551000000000001,0.8234999999999999,0.7,1.0,0.7143,kalman_single
37,0.000301,91.38,93.29,89.04,97.95,89.49,0.00023,93.24,94.88,91.81,98.16,91.35,0.000566,0.8244,0.8820999999999999,0.8112999999999999,0.9662999999999999,0.7451000000000001,kalman_single
38,0.000359,89.74,92.12,87.59,97.15,87.47,0.000331,93.53,95.0,93.72,96.31,92.47,0.002619,0.6496999999999999,0.6960999999999999,0.6701999999999999,0.7241,0.6406000000000001,kalman_single
43,0.000257,92.71,94.27,90.74,98.08,91.16,0.000208,94.71,95.96,93.45,98.62,93.21,0.000531,0.8687,0.9128000000000001,0.85,0.9854999999999999,0.7928000000000001,kalman_single
44,0.000276,91.94,93.78,90.09,97.79,90.06,0.000329,93.53,95.09,92.21,98.16,91.76,0.001116,0.7165,0.7736,0.6720999999999999,0.9111,0.7034999999999999,kalman_single
45,0.000389,88.71,91.12,86.34,96.46,86.75,0.000212,93.53,95.11,91.85,98.62,91.59,0.001311,0.8087000000000001,0.8911,1.0,0.8036,0.9018,kalman_single
46,0.000325,90.37,92.72,88.48,97.38,87.92,0.000337,94.12,95.48,93.78,97.24,92.93,0.000986,0.885,0.8623000000000001,0.8,0.9351,0.8944,kalman_single
49,0.000293,91.55,93.48,89.33,98.02,89.57,0.000177,96.76,97.49,96.4,98.62,96.06,0.000705,0.8129000000000001,0.8471,0.7659999999999999,0.9473999999999999,0.7990999999999999,kalman_single
50,0.000275,92.16,93.88,90.42,97.61,90.51,0.000205,94.71,95.98,93.07,99.08,93.04,0.000146,0.9636,0.9688,0.9394,1.0,0.9582999999999999,kalman_single
51,0.00026,92.38,94.06,90.33,98.12,90.67,0.000247,93.53,95.11,91.85,98.62,91.59,0.000638,0.7797,0.8267,0.7561,0.9118,0.7559,kalman_single
52,0.000324,90.81,92.91,88.92,97.28,88.8,0.000248,94.41,95.73,93.42,98.16,92.98,0.000953,0.8472,0.8659,0.7978000000000001,0.9467,0.8429000000000001,kalman_single
53,0.000335,90.13,92.36,88.11,97.03,88.07,0.000379,93.24,94.76,93.69,95.85,92.24,0.000703,0.8614,0.8852,0.871,0.9,0.8523999999999999,kalman_single
54,0.000285,91.85,93.65,90.07,97.53,90.14,0.000309,90.88,93.25,88.43,98.62,87.93,0.001012,0.8146,0.8462000000000001,0.8105,0.8851,0.8019,kalman_single
55,0.000331,90.19,92.36,87.86,97.34,88.21,0.00026,94.41,95.73,93.42,98.16,92.98,0.000498,0.9113,0.9353,0.9489,0.922,0.9045000000000001,kalman_single
56,0.000353,89.6,91.85,87.64,96.48,87.71,0.000267,93.53,95.09,92.21,98.16,91.76,0.000433,0.9061,0.9317,0.9831,0.8855,0.9227,kalman_single
58,0.000308,90.64,92.72,88.69,97.14,88.72,0.000416,93.24,94.83,92.54,97.24,91.71,0.000117,0.9795999999999999,0.9836,0.9783,0.9890000000000001,0.9765999999999999,kalman_single
60,0.000287,91.72,93.58,89.93,97.53,89.93,0.000211,93.53,95.05,92.95,97.24,92.11,0.001541,0.8427,0.8511,0.7843000000000001,0.9301999999999999,0.8456,kalman_single
61,0.000329,91.08,93.06,89.17,97.31,89.22,0.000218,94.41,95.77,92.67,99.08,92.63,0.00116,0.7045,0.8,0.6667000000000001,1.0,0.6389,kalman_single
62,0.000286,91.45,93.27,89.27,97.64,89.78,0.000185,94.71,95.96,93.45,98.62,93.21,0.000622,0.9018,0.935,0.9426000000000001,0.9274,0.8740000000000001,kalman_single
63,0.000315,90.24,92.38,87.84,97.4,88.3,0.000277,93.82,95.26,93.36,97.24,92.52,0.000407,0.9251,0.9481,0.9623999999999999,0.9343,0.9172,kalman_single
31,0.000325,90.55,92.74,88.77,97.08,88.45,0.000176,95.59,96.61,94.69,98.62,94.43,0.001619,0.7625,0.7323999999999999,0.5778,1.0,0.8240999999999999,kalman_dual
34,0.00032,90.55,92.67,88.25,97.55,88.52,0.000532,92.65,94.41,91.74,97.24,90.89,0.0006,0.7948999999999999,0.8824,0.7895,1.0,0.5556,kalman_dual
