subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,accuracy,f1,precision,recall,auc,experiment
60,0.000268,93.06,95.5,92.64,98.53,87.77,0.000713,89.05,92.87,92.66,93.09,84.42,0.002039,0.831,0.8695999999999999,0.8162999999999999,0.9301999999999999,0.8044,dual_asym_dropout
61,0.000242,94.08,96.12,93.73,98.63,89.79,0.000718,85.87,90.61,92.34,88.94,82.35,0.002977,0.6806,0.7928000000000001,0.7458,0.8462000000000001,0.5481,dual_asym_dropout
62,0.000277,93.67,95.8,93.48,98.24,89.62,0.00057,89.05,93.1,90.09,96.31,80.73,0.007715,0.7112999999999999,0.8038,0.9882,0.6774,0.8109000000000001,dual_asym_dropout
63,0.000281,92.79,95.28,92.15,98.62,87.54,0.000534,88.34,92.52,91.07,94.01,81.85,0.000568,0.9340999999999999,0.9597,0.9632,0.9562,0.8948,dual_asym_dropout
31,0.000334,89.48,93.33,88.81,98.33,80.75,0.000289,91.87,94.92,91.1,99.08,83.63,0.001426,0.6786,0.7429000000000001,0.5909,1.0,0.7,kalman_single
34,0.000343,89.83,93.47,89.16,98.23,82.02,0.000159,95.41,97.08,94.74,99.54,90.68,0.000538,0.8332999999999999,0.9091,0.8332999999999999,1.0,0.5,kalman_single
36,0.000308,91.41,94.43,91.01,98.12,85.06,0.000186,94.7,96.63,94.3,99.08,89.69,0.002153,0.775,0.8615,0.7568,1.0,0.625,kalman_single
37,0.000286,91.89,94.73,91.1,98.65,85.73,0.00024,94.35,96.43,93.51,99.54,88.41,0.00063,0.8785,0.929,0.9043000000000001,0.9551000000000001,0.7275,kalman_single
38,0.000363,90.0,93.58,89.54,98.01,82.36,0.000315,92.93,95.52,93.01,98.16,86.96,0.001489,0.748,0.8306,0.7917000000000001,0.8736,0.659,kalman_single
43,0.000245,92.78,95.3,92.1,98.72,87.24,0.000227,90.81,94.3,89.96,99.08,81.36,0.000346,0.8876000000000001,0.9323999999999999,0.8734000000000001,1.0,0.75,kalman_single
44,0.000267,92.2,94.99,91.81,98.4,85.91,0.000112,96.11,97.51,95.98,99.08,92.72,0.001071,0.77,0.8328,0.7722,0.9037000000000001,0.7211,kalman_single
45,0.000296,91.51,94.45,90.55,98.69,85.33,0.000212,93.99,96.18,93.86,98.62,88.7,2.6e-05,1.0,1.0,1.0,1.0,1.0,kalman_single
46,0.000341,89.16,93.25,88.44,98.61,79.02,0.000262,89.4,93.53,87.85,100.0,77.27,0.000928,0.5157,0.6667000000000001,0.5,1.0,0.5305,kalman_single
49,0.000309,90.8,94.05,90.47,97.92,84.16,0.000287,92.93,95.56,92.27,99.08,85.9,0.002212,0.81,0.882,0.8353,0.9342,0.6754000000000001,kalman_single
50,0.000321,90.64,93.97,90.23,98.04,83.59,0.00025,93.99,96.18,93.86,98.62,88.7,0.00024,0.9444,0.9612,0.9254000000000001,1.0,0.9107,kalman_single
51,0.000263,92.28,94.99,91.6,98.64,86.33,0.000189,95.41,97.07,95.13,99.08,91.21,0.001176,0.8181999999999999,0.8856999999999999,0.8611,0.9118,0.7059000000000001,kalman_single
