process_var,measurement_var,q_r_ratio,cohens_d,auc_roc,mean_peak_preservation,fall_mean_smv,adl_mean_smv,cohens_d_norm,auc_norm,combined_score
0.1,0.05,2.0,1.7726007206974996,0.9042960759432229,0.9206702055206333,51.41472736232287,18.698871042138272,0.9983374778034133,0.9943268504391876,0.9963321641213004
0.1,0.1,1.0,1.7520488423301535,0.901248500481926,0.879997855888691,46.8556857539341,18.14772957630318,0.9876732342494561,0.9878168002251481,0.9877450172373021
0.1,0.5,0.2,1.6129500657685318,0.8850485046424386,0.7594901646254747,34.31618377477343,16.38879342989356,0.9154957327677676,0.9532113285242402,0.9343535306460039
0.1,1.0,0.1,1.4954299549224668,0.8711905306733789,0.7035834411417575,29.10115760555819,15.502780944829121,0.8545152684934298,0.9236087452415159,0.8890620068674728
0.1,2.0,0.05,1.3522261877296837,0.8519741632169084,0.6499823855225613,24.50975787751727,14.582297043552195,0.7802077125663543,0.8825598791308084,0.8313837958485814
1.0,0.001,1000.0,1.7665652738767885,0.9069518698036932,0.9997260339310098,60.67644498753181,19.730494627664324,0.9952057214888527,1.0,0.9976028607444263
1.0,0.01,100.0,1.7678217105990726,0.9068825279274406,0.9973056884301733,60.39410593001847,19.69903668912866,0.9958576787930503,0.999851875990579,0.9978547773918147
1.0,0.05,20.0,1.7722739838381716,0.9065479533745224,0.987468435025134,59.23794542070486,19.571721028603843,0.9981679360523554,0.9991371776451243,0.9986525568487399
1.0,0.1,10.0,1.7758046942183954,0.9063035232607325,0.9767749121387773,57.96810313475722,19.434346096633313,1.0,0.9986150405119166,0.9993075202559583
1.0,0.5,2.0,1.772772147094235,0.9043238126937239,0.9205695164253641,51.41467833728111,18.695847975591537,0.9984264299086023,0.9943861000429557,0.996406264975779
